date,sampler_perf/mean_processing_ms,time_since_restore,timesteps_total,info/grad_time_ms,episode_reward_mean,experiment_id,training_iteration,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/opt_peak_throughput,info/update_time_ms,hostname,info/sample_peak_throughput,sampler_perf/mean_inference_ms,timestamp,pid,info/sample_time_ms,episodes_total,time_total_s,episode_reward_min,episode_len_mean,episode_reward_max,info/opt_samples,time_this_iter_s,sampler_perf/mean_env_wait_ms,timesteps_this_iter,info/num_steps_sampled,node_ip,episodes_this_iter,done
2019-12-18_10-41-19,0.3361453354244355,20.529579877853394,44661,5.063,-282.70500000000015,39256a2dc336482785ed601076b83d42,54,44661,54,44661,168558.265,0.002,zack-XPS-15-9560,2273.408,0.5902111697892112,1576694479,8675,375.384,151,20.529579877853394,-641.0000000000009,71.38,179.4999999999983,853.4,0.36026453971862793,0.9717290109473221,817,44661,10.142.78.137,3,False
2019-12-18_10-41-20,0.33555707245075583,20.908095121383667,45517,5.377,-276.56200000000024,39256a2dc336482785ed601076b83d42,55,45517,55,45517,157183.174,0.002,zack-XPS-15-9560,2272.78,0.5894400461601282,1576694480,8675,371.835,154,20.908095121383667,-641.0000000000009,71.09,179.4999999999983,845.1,0.37851524353027344,0.9700480344454434,856,45517,10.142.78.137,3,False
2019-12-18_10-41-20,0.33498007122309714,21.256911039352417,46305,5.286,-272.3260000000002,39256a2dc336482785ed601076b83d42,56,46305,56,46305,157050.852,0.002,zack-XPS-15-9560,2269.025,0.5887190837285158,1576694480,8675,365.84,157,21.256911039352417,-641.0000000000009,70.9,179.4999999999983,830.1,0.34881591796875,0.9682889010078681,788,46305,10.142.78.137,3,False
2019-12-18_10-41-20,0.3344370877965573,21.64425563812256,47193,5.261,-272.38200000000023,39256a2dc336482785ed601076b83d42,57,47193,57,47193,158909.276,0.002,zack-XPS-15-9560,2278.035,0.5880375215144594,1576694480,8675,367.027,160,21.64425563812256,-641.0000000000009,70.91,179.4999999999983,836.1,0.3873445987701416,0.9666411860458165,888,47193,10.142.78.137,3,False
2019-12-18_10-41-21,0.3339291076706241,22.007411241531372,47990,5.319,-268.3340000000003,39256a2dc336482785ed601076b83d42,58,47990,58,47990,156880.755,0.002,zack-XPS-15-9560,2272.987,0.5873993812780928,1576694481,8675,367.094,163,22.007411241531372,-641.0000000000009,70.84,179.4999999999983,834.4,0.3631556034088135,0.9650852886653516,797,47990,10.142.78.137,3,False
2019-12-18_10-41-21,0.3336074388083414,22.400135278701782,48904,5.2,-272.4050000000002,39256a2dc336482785ed601076b83d42,59,48904,59,48904,164682.347,0.002,zack-XPS-15-9560,2285.947,0.5870022968047902,1576694481,8675,374.637,165,22.400135278701782,-641.0000000000009,70.76,179.4999999999983,856.4,0.39272403717041016,0.9640974916980132,914,48904,10.142.78.137,2,False
2019-12-18_10-41-22,0.33313469033526516,22.766101360321045,49726,5.18,-268.25400000000025,39256a2dc336482785ed601076b83d42,60,49726,60,49726,164416.64,0.002,zack-XPS-15-9560,2286.085,0.5864028535720097,1576694482,8675,372.515,168,22.766101360321045,-640.4000000000005,70.78,179.4999999999983,851.6,0.3659660816192627,0.9625535104089178,822,49726,10.142.78.137,3,False
2019-12-18_10-41-22,0.33270746906785825,23.132946729660034,50546,5.198,-264.36800000000017,39256a2dc336482785ed601076b83d42,61,50546,61,50546,163053.683,0.002,zack-XPS-15-9560,2287.01,0.5858290016470173,1576694482,8675,370.615,171,23.132946729660034,-640.4000000000005,70.85,179.4999999999983,847.6,0.36684536933898926,0.961166275129908,820,50546,10.142.78.137,3,False
2019-12-18_10-41-22,0.332455520804421,23.518240451812744,51455,5.189,-270.5150000000002,39256a2dc336482785ed601076b83d42,62,51455,62,51455,163339.11,0.002,zack-XPS-15-9560,2302.315,0.5854734172032708,1576694482,8675,368.151,173,23.518240451812744,-640.4000000000005,70.91,179.4999999999983,847.6,0.38529372215270996,0.9604014797897448,909,51455,10.142.78.137,2,False
2019-12-18_10-41-23,0.33212080957151874,23.908488750457764,52361,5.201,-268.7050000000002,39256a2dc336482785ed601076b83d42,63,52361,63,52361,163763.539,0.002,zack-XPS-15-9560,2313.642,0.5849690528807509,1576694483,8675,368.121,176,23.908488750457764,-640.4000000000005,70.98,179.4999999999983,851.7,0.39024829864501953,0.9594252563162818,906,52361,10.142.78.137,3,False
2019-12-18_10-41-23,0.331811968214233,24.27635884284973,53184,5.23,-268.7000000000002,39256a2dc336482785ed601076b83d42,64,53184,64,53184,162974.889,0.002,zack-XPS-15-9560,2310.675,0.584488660255436,1576694483,8675,368.853,179,24.27635884284973,-640.4000000000005,70.91,179.4999999999983,852.3,0.3678700923919678,0.9585188531884019,823,53184,10.142.78.137,3,False
